run_count,model,vector_dimension,total_vectors,ef_construction,M,index_time,memory_used,num_queries_percent,K,query_time,recall_at_k
1,hnsw_lib,100,10000,50,8,0.24628543853759766,4.5,10,10,0.004180908203125,0.4243
2,hnsw_lib,100,10000,50,8,0.2849903106689453,0.0,10,10,0.0043430328369140625,0.4321
3,hnsw_lib,100,10000,50,8,0.28290677070617676,0.0,10,10,0.004924774169921875,0.4338
1,hnsw_lib,100,10000,50,12,0.39278197288513184,0.0,10,10,0.005223989486694336,0.601
2,hnsw_lib,100,10000,50,12,0.4186277389526367,0.0,10,10,0.005506038665771484,0.5949
3,hnsw_lib,100,10000,50,12,0.4506213665008545,0.0,10,10,0.006249666213989258,0.5889
1,hnsw_lib,100,10000,50,16,0.4777512550354004,0.0,10,10,0.007133007049560547,0.7027
2,hnsw_lib,100,10000,50,16,0.4708108901977539,0.0,10,10,0.006913900375366211,0.7032
3,hnsw_lib,100,10000,50,16,0.5102207660675049,0.0,10,10,0.007252693176269531,0.7044
1,hnsw_lib,100,10000,50,32,0.506817102432251,0.0,10,10,0.008189678192138672,0.8536
2,hnsw_lib,100,10000,50,32,0.5028853416442871,0.0,10,10,0.010250329971313477,0.854
3,hnsw_lib,100,10000,50,32,0.498852014541626,0.0,10,10,0.009109258651733398,0.8537
1,hnsw_lib,100,10000,100,8,0.4215104579925537,0.0,10,10,0.005089759826660156,0.4874
2,hnsw_lib,100,10000,100,8,0.4251244068145752,0.0,10,10,0.005066871643066406,0.4705
3,hnsw_lib,100,10000,100,8,0.41445207595825195,0.0,10,10,0.005070924758911133,0.4771
1,hnsw_lib,100,10000,100,12,0.5355868339538574,0.0,10,10,0.006292581558227539,0.6675
2,hnsw_lib,100,10000,100,12,0.5002529621124268,0.0,10,10,0.0071353912353515625,0.6628
3,hnsw_lib,100,10000,100,12,0.5559220314025879,0.0,10,10,0.006417274475097656,0.6624
1,hnsw_lib,100,10000,100,16,0.6783039569854736,0.0,10,10,0.006981849670410156,0.7699
2,hnsw_lib,100,10000,100,16,0.6763358116149902,0.0,10,10,0.006892681121826172,0.7654
3,hnsw_lib,100,10000,100,16,0.6219766139984131,0.0,10,10,0.006994724273681641,0.766
1,hnsw_lib,100,10000,100,32,0.7816140651702881,0.0,10,10,0.009353876113891602,0.9197
2,hnsw_lib,100,10000,100,32,0.7919497489929199,0.0,10,10,0.009286880493164062,0.92
3,hnsw_lib,100,10000,100,32,0.7766087055206299,0.0,10,10,0.009839534759521484,0.9188
1,hnsw_lib,100,10000,150,8,0.5625660419464111,0.0,10,10,0.0040853023529052734,0.4985
2,hnsw_lib,100,10000,150,8,0.5330569744110107,0.0,10,10,0.004118442535400391,0.4886
3,hnsw_lib,100,10000,150,8,0.5447962284088135,0.0,10,10,0.0043163299560546875,0.4995
1,hnsw_lib,100,10000,150,12,0.6899738311767578,0.0,10,10,0.005394935607910156,0.6851
2,hnsw_lib,100,10000,150,12,0.6792643070220947,0.0,10,10,0.005440711975097656,0.6856
3,hnsw_lib,100,10000,150,12,0.6440203189849854,0.0,10,10,0.005403041839599609,0.6848
1,hnsw_lib,100,10000,150,16,0.8414790630340576,0.0,10,10,0.007045269012451172,0.7858
2,hnsw_lib,100,10000,150,16,0.830955982208252,0.0,10,10,0.008130550384521484,0.785
3,hnsw_lib,100,10000,150,16,0.8370633125305176,0.0,10,10,0.007143735885620117,0.7862
1,hnsw_lib,100,10000,150,32,0.9329590797424316,0.0,10,10,0.00932002067565918,0.9309
2,hnsw_lib,100,10000,150,32,0.9763422012329102,0.0,10,10,0.009306907653808594,0.9311
3,hnsw_lib,100,10000,150,32,0.929030179977417,0.0,10,10,0.00943303108215332,0.9316
1,hnsw_lib,100,10000,300,8,0.8081421852111816,0.0,10,10,0.004889488220214844,0.5096
2,hnsw_lib,100,10000,300,8,0.8553893566131592,0.0,10,10,0.005821943283081055,0.5193
3,hnsw_lib,100,10000,300,8,0.8517160415649414,0.0,10,10,0.004949331283569336,0.5104
1,hnsw_lib,100,10000,300,12,1.0239903926849365,0.0,10,10,0.00645899772644043,0.7095
2,hnsw_lib,100,10000,300,12,1.0294513702392578,0.0,10,10,0.006244182586669922,0.7126
3,hnsw_lib,100,10000,300,12,0.979769229888916,0.0,10,10,0.0070726871490478516,0.7061
1,hnsw_lib,100,10000,300,16,1.2652506828308105,0.0,10,10,0.008339881896972656,0.7997
2,hnsw_lib,100,10000,300,16,1.1703169345855713,0.0,10,10,0.007628202438354492,0.8009
3,hnsw_lib,100,10000,300,16,1.1863212585449219,0.0,10,10,0.0071909427642822266,0.8016
1,hnsw_lib,100,10000,300,32,1.3983595371246338,0.0,10,10,0.009414434432983398,0.9333
2,hnsw_lib,100,10000,300,32,1.4041533470153809,0.0,10,10,0.009399175643920898,0.9332
3,hnsw_lib,100,10000,300,32,1.4742302894592285,0.0,10,10,0.010135650634765625,0.934
1,hnsw_lib,100,50000,50,8,1.6101491451263428,23.625,10,10,0.028589248657226562,0.1691
2,hnsw_lib,100,50000,50,8,1.6363110542297363,0.5625,10,10,0.028452396392822266,0.17274
3,hnsw_lib,100,50000,50,8,1.7162635326385498,0.5625,10,10,0.023742198944091797,0.17036
1,hnsw_lib,100,50000,50,12,2.561732292175293,0.0,10,10,0.03268241882324219,0.2893
2,hnsw_lib,100,50000,50,12,2.490623712539673,0.0,10,10,0.03816485404968262,0.28732
3,hnsw_lib,100,50000,50,12,2.4746978282928467,0.0,10,10,0.03894329071044922,0.2927
1,hnsw_lib,100,50000,50,16,3.445319652557373,0.0,10,10,0.04729461669921875,0.38794
2,hnsw_lib,100,50000,50,16,3.370577335357666,0.0,10,10,0.047692060470581055,0.39122
3,hnsw_lib,100,50000,50,16,3.418558120727539,0.0,10,10,0.047696828842163086,0.39266
1,hnsw_lib,100,50000,50,32,5.017172336578369,0.0,10,10,0.07248282432556152,0.6119
2,hnsw_lib,100,50000,50,32,5.068295240402222,0.0,10,10,0.07289552688598633,0.61272
3,hnsw_lib,100,50000,50,32,5.109095335006714,0.0,10,10,0.07881617546081543,0.61206
1,hnsw_lib,100,50000,100,8,2.5176198482513428,0.0,10,10,0.024183034896850586,0.21814
2,hnsw_lib,100,50000,100,8,2.2696032524108887,0.0,10,10,0.028533220291137695,0.21278
3,hnsw_lib,100,50000,100,8,2.3512282371520996,0.0,10,10,0.030261993408203125,0.21366
1,hnsw_lib,100,50000,100,12,3.606363534927368,0.0,10,10,0.03894519805908203,0.36398
2,hnsw_lib,100,50000,100,12,3.6076879501342773,0.5625,10,10,0.0324857234954834,0.3602
3,hnsw_lib,100,50000,100,12,4.773691415786743,0.0,10,10,0.03264164924621582,0.36434
1,hnsw_lib,100,50000,100,16,4.975452184677124,0.0,10,10,0.048229217529296875,0.48556
2,hnsw_lib,100,50000,100,16,4.895480155944824,0.0,10,10,0.0484614372253418,0.49028
3,hnsw_lib,100,50000,100,16,4.788719892501831,0.0,10,10,0.04164934158325195,0.48622
1,hnsw_lib,100,50000,100,32,8.65812635421753,0.0,10,10,0.07735371589660645,0.76318
2,hnsw_lib,100,50000,100,32,8.71898365020752,0.0,10,10,0.07892322540283203,0.76222
3,hnsw_lib,100,50000,100,32,8.77170205116272,0.0,10,10,0.08108186721801758,0.76162
1,hnsw_lib,100,50000,150,8,3.3055946826934814,0.0,10,10,0.030067920684814453,0.2375
2,hnsw_lib,100,50000,150,8,3.199230432510376,0.0,10,10,0.027872562408447266,0.24014
3,hnsw_lib,100,50000,150,8,3.347792625427246,0.0,10,10,0.02894902229309082,0.23944
1,hnsw_lib,100,50000,150,12,4.577389478683472,0.0,10,10,0.04599618911743164,0.40314
2,hnsw_lib,100,50000,150,12,4.650820732116699,0.0,10,10,0.0331573486328125,0.40142
3,hnsw_lib,100,50000,150,12,4.5784242153167725,0.0,10,10,0.04092526435852051,0.40354
1,hnsw_lib,100,50000,150,16,6.089141607284546,0.0,10,10,0.04982900619506836,0.53712
2,hnsw_lib,100,50000,150,16,5.988490104675293,0.0,10,10,0.04882645606994629,0.53424
3,hnsw_lib,100,50000,150,16,6.174029111862183,0.0,10,10,0.048769235610961914,0.53312
1,hnsw_lib,100,50000,150,32,10.757360935211182,0.0,10,10,0.08003616333007812,0.812
2,hnsw_lib,100,50000,150,32,10.907193422317505,0.0,10,10,0.07942819595336914,0.80756
3,hnsw_lib,100,50000,150,32,10.737337827682495,0.0,10,10,0.08260273933410645,0.8111
1,hnsw_lib,100,50000,300,8,5.589962482452393,0.0,10,10,0.031252384185791016,0.27032
2,hnsw_lib,100,50000,300,8,5.536535024642944,0.0,10,10,0.03368735313415527,0.26932
3,hnsw_lib,100,50000,300,8,5.587476968765259,0.0,10,10,0.028586149215698242,0.26956
1,hnsw_lib,100,50000,300,12,7.13719367980957,0.0,10,10,0.040886640548706055,0.45428
2,hnsw_lib,100,50000,300,12,7.275972127914429,0.0,10,10,0.04138946533203125,0.45384
3,hnsw_lib,100,50000,300,12,7.304353952407837,0.0,10,10,0.03979754447937012,0.45446
1,hnsw_lib,100,50000,300,16,8.914405584335327,0.0,10,10,0.052220821380615234,0.59294
2,hnsw_lib,100,50000,300,16,8.948184251785278,0.0,10,10,0.04869890213012695,0.58756
3,hnsw_lib,100,50000,300,16,8.733967065811157,0.0,10,10,0.05351519584655762,0.58754
1,hnsw_lib,100,50000,300,32,15.399253606796265,0.0,10,10,0.08264899253845215,0.84882
2,hnsw_lib,100,50000,300,32,15.325464010238647,0.0,10,10,0.07971572875976562,0.84886
3,hnsw_lib,100,50000,300,32,15.483956098556519,0.0,10,10,0.08223915100097656,0.84866
1,hnsw_lib,100,100000,50,8,3.1698946952819824,45.5625,10,10,0.06590032577514648,0.1044
2,hnsw_lib,100,100000,50,8,3.5835518836975098,45.5625,10,10,0.07139873504638672,0.10675
3,hnsw_lib,100,100000,50,8,3.4300174713134766,45.5625,10,10,0.07420897483825684,0.10451
1,hnsw_lib,100,100000,50,12,5.196335792541504,48.375,10,10,0.0899360179901123,0.19592
2,hnsw_lib,100,100000,50,12,5.467190504074097,50.0625,10,10,0.0928497314453125,0.19559
3,hnsw_lib,100,100000,50,12,5.599788427352905,48.9375,10,10,0.0982363224029541,0.19349
1,hnsw_lib,100,100000,50,16,7.867490530014038,51.1875,10,10,0.12307572364807129,0.27521
2,hnsw_lib,100,100000,50,16,7.854445457458496,51.1875,10,10,0.10572004318237305,0.27476
3,hnsw_lib,100,100000,50,16,7.811493873596191,50.0625,10,10,0.11664152145385742,0.27555
1,hnsw_lib,100,100000,50,32,13.318212032318115,63.0,10,10,0.19707632064819336,0.48162
2,hnsw_lib,100,100000,50,32,13.455610036849976,63.0,10,10,0.20324921607971191,0.48199
3,hnsw_lib,100,100000,50,32,13.054155111312866,64.125,10,10,0.19524288177490234,0.4838
1,hnsw_lib,100,100000,100,8,5.397003173828125,45.5625,10,10,0.06801795959472656,0.14219
2,hnsw_lib,100,100000,100,8,5.262778282165527,45.0,10,10,0.0679466724395752,0.14213
3,hnsw_lib,100,100000,100,8,5.692615985870361,45.0,10,10,0.06620025634765625,0.14226
1,hnsw_lib,100,100000,100,12,8.214479446411133,47.8125,10,10,0.08218669891357422,0.25442
2,hnsw_lib,100,100000,100,12,8.187598466873169,48.375,10,10,0.10211038589477539,0.25662
3,hnsw_lib,100,100000,100,12,8.162828207015991,48.9375,10,10,0.10001683235168457,0.25745
1,hnsw_lib,100,100000,100,16,11.64390778541565,51.75,10,10,0.12522315979003906,0.36105
2,hnsw_lib,100,100000,100,16,11.393621921539307,51.75,10,10,0.11998748779296875,0.36217
3,hnsw_lib,100,100000,100,16,11.493360042572021,51.75,10,10,0.12610507011413574,0.36222
1,hnsw_lib,100,100000,100,32,23.801342487335205,63.5625,10,10,0.19868993759155273,0.64612
2,hnsw_lib,100,100000,100,32,23.91010093688965,63.5625,10,10,0.21386265754699707,0.64318
3,hnsw_lib,100,100000,100,32,23.674439191818237,63.0,10,10,0.20148277282714844,0.64695
1,hnsw_lib,100,100000,150,8,6.997192859649658,45.5625,10,10,0.06461906433105469,0.16154
2,hnsw_lib,100,100000,150,8,6.875679969787598,45.5625,10,10,0.06359028816223145,0.15714
3,hnsw_lib,100,100000,150,8,6.922560691833496,44.4375,10,10,0.06387519836425781,0.15927
1,hnsw_lib,100,100000,150,12,10.707909345626831,47.8125,10,10,0.11541175842285156,0.29154
2,hnsw_lib,100,100000,150,12,10.56189250946045,48.375,10,10,0.09596967697143555,0.28866
3,hnsw_lib,100,100000,150,12,10.5453040599823,48.9375,10,10,0.09355831146240234,0.28809
1,hnsw_lib,100,100000,150,16,14.339923620223999,51.75,10,10,0.13631820678710938,0.40825
2,hnsw_lib,100,100000,150,16,14.51047658920288,51.1875,10,10,0.1275641918182373,0.40551
3,hnsw_lib,100,100000,150,16,14.366214275360107,51.75,10,10,0.12165570259094238,0.40671
1,hnsw_lib,100,100000,150,32,30.38210654258728,63.5625,10,10,0.23222732543945312,0.70763
2,hnsw_lib,100,100000,150,32,30.456599235534668,64.125,10,10,0.21976470947265625,0.70778
3,hnsw_lib,100,100000,150,32,29.93326735496521,63.0,10,10,0.22339224815368652,0.70767
1,hnsw_lib,100,100000,300,8,12.512706518173218,44.4375,10,10,0.06917309761047363,0.18722
2,hnsw_lib,100,100000,300,8,12.523685932159424,45.0,10,10,0.0787503719329834,0.19147
3,hnsw_lib,100,100000,300,8,12.484221458435059,45.5625,10,10,0.06508135795593262,0.19001
1,hnsw_lib,100,100000,300,12,17.16257405281067,47.8125,10,10,0.09783291816711426,0.33628
2,hnsw_lib,100,100000,300,12,17.073890924453735,47.8125,10,10,0.08568120002746582,0.33901
3,hnsw_lib,100,100000,300,12,16.879668712615967,48.9375,10,10,0.10369062423706055,0.33647
1,hnsw_lib,100,100000,300,16,21.985281229019165,50.625,10,10,0.12667012214660645,0.468
2,hnsw_lib,100,100000,300,16,21.969289779663086,51.1875,10,10,0.12413287162780762,0.46698
3,hnsw_lib,100,100000,300,16,22.41691517829895,51.75,10,10,0.12413692474365234,0.47072
1,hnsw_lib,100,100000,300,32,43.85773730278015,63.0,10,10,0.20953106880187988,0.77037
2,hnsw_lib,100,100000,300,32,43.71413230895996,63.5625,10,10,0.20857000350952148,0.77027
3,hnsw_lib,100,100000,300,32,44.02507424354553,64.125,10,10,0.20815634727478027,0.77225
1,hnsw_lib,100,500000,50,8,23.37440824508667,245.8125,10,10,0.41892266273498535,0.031896
2,hnsw_lib,100,500000,50,8,23.324602127075195,235.6875,10,10,0.40928173065185547,0.03253
3,hnsw_lib,100,500000,50,8,23.662220001220703,235.125,10,10,0.4286172389984131,0.031928
1,hnsw_lib,100,500000,50,12,36.656105518341064,241.875,10,10,0.6449949741363525,0.063204
2,hnsw_lib,100,500000,50,12,36.82908535003662,245.25,10,10,0.614377498626709,0.063004
3,hnsw_lib,100,500000,50,12,37.02466320991516,242.4375,10,10,0.6628944873809814,0.06326
1,hnsw_lib,100,500000,50,16,51.44879937171936,257.625,10,10,0.7653007507324219,0.09769
2,hnsw_lib,100,500000,50,16,51.70537805557251,256.5,10,10,0.8197739124298096,0.096592
3,hnsw_lib,100,500000,50,16,50.54819703102112,258.75,10,10,0.8063874244689941,0.09718
1,hnsw_lib,100,500000,50,32,103.52955532073975,318.375,10,10,1.4008052349090576,0.21841
2,hnsw_lib,100,500000,50,32,102.64109992980957,317.25,10,10,1.3921973705291748,0.216272
3,hnsw_lib,100,500000,50,32,103.5287024974823,318.375,10,10,1.3621962070465088,0.216526
1,hnsw_lib,100,500000,100,8,37.914899826049805,226.6875,10,10,0.41829633712768555,0.044394
2,hnsw_lib,100,500000,100,8,37.181158781051636,229.5,10,10,0.4470944404602051,0.044508
3,hnsw_lib,100,500000,100,8,37.32001852989197,226.125,10,10,0.4443788528442383,0.045076
1,hnsw_lib,100,500000,100,12,63.36726522445679,242.4375,10,10,0.5970056056976318,0.092338
2,hnsw_lib,100,500000,100,12,57.72832894325256,242.4375,10,10,0.6337578296661377,0.091042
3,hnsw_lib,100,500000,100,12,56.99755096435547,241.875,10,10,0.6087112426757812,0.093226
1,hnsw_lib,100,500000,100,16,80.64077234268188,255.9375,10,10,0.8751132488250732,0.143168
2,hnsw_lib,100,500000,100,16,79.84280061721802,258.1875,10,10,0.836714506149292,0.144098
3,hnsw_lib,100,500000,100,16,81.96791195869446,257.625,10,10,0.8107783794403076,0.14427
1,hnsw_lib,100,500000,100,32,196.7722520828247,317.8125,10,10,1.7129127979278564,0.35523
2,hnsw_lib,100,500000,100,32,195.44727659225464,318.375,10,10,1.5839693546295166,0.354312
3,hnsw_lib,100,500000,100,32,195.7745876312256,318.375,10,10,1.6655056476593018,0.35421
1,hnsw_lib,100,500000,150,8,50.71597123146057,227.25,10,10,0.39281654357910156,0.052634
2,hnsw_lib,100,500000,150,8,51.56059646606445,226.6875,10,10,0.39301347732543945,0.053814
3,hnsw_lib,100,500000,150,8,51.033602714538574,231.1875,10,10,0.421370267868042,0.052638
1,hnsw_lib,100,500000,150,12,74.85977673530579,241.875,10,10,0.6614608764648438,0.110112
2,hnsw_lib,100,500000,150,12,75.89207482337952,242.4375,10,10,0.6327335834503174,0.110648
3,hnsw_lib,100,500000,150,12,75.65657925605774,243.0,10,10,0.6301777362823486,0.11086
1,hnsw_lib,100,500000,150,16,104.84038591384888,257.0625,10,10,0.8006260395050049,0.174694
2,hnsw_lib,100,500000,150,16,104.65279984474182,257.625,10,10,0.8453774452209473,0.175116
3,hnsw_lib,100,500000,150,16,104.61827874183655,257.625,10,10,0.7869658470153809,0.173018
1,hnsw_lib,100,500000,150,32,256.1953136920929,317.8125,10,10,1.6101412773132324,0.4216
2,hnsw_lib,100,500000,150,32,257.8852961063385,318.375,10,10,1.6543521881103516,0.42221
3,hnsw_lib,100,500000,150,32,255.62026858329773,317.8125,10,10,1.7396597862243652,0.419956
1,hnsw_lib,100,500000,300,8,92.15746998786926,226.125,10,10,0.40453076362609863,0.066644
2,hnsw_lib,100,500000,300,8,89.54670834541321,226.6875,10,10,0.4672560691833496,0.067444
3,hnsw_lib,100,500000,300,8,90.88411617279053,227.25,10,10,0.40587353706359863,0.067836
1,hnsw_lib,100,500000,300,12,130.79824209213257,241.875,10,10,0.6211998462677002,0.141324
2,hnsw_lib,100,500000,300,12,129.48567724227905,241.875,10,10,0.652024507522583,0.141082
3,hnsw_lib,100,500000,300,12,130.46977972984314,242.4375,10,10,0.6218445301055908,0.142094
1,hnsw_lib,100,500000,300,16,173.42919540405273,257.625,10,10,0.8558764457702637,0.224516
2,hnsw_lib,100,500000,300,16,171.28887462615967,257.0625,10,10,0.8578765392303467,0.226704
3,hnsw_lib,100,500000,300,16,172.81247568130493,257.625,10,10,0.8586363792419434,0.224798
1,hnsw_lib,100,500000,300,32,389.26512145996094,317.8125,10,10,1.6531293392181396,0.519394
2,hnsw_lib,100,500000,300,32,388.44723773002625,318.9375,10,10,1.6692726612091064,0.521304
3,hnsw_lib,100,500000,300,32,389.2301869392395,318.375,10,10,1.6466190814971924,0.519002
1,hnsw_lib,200,10000,50,8,0.42765069007873535,0.0,10,10,0.007582426071166992,0.3119
2,hnsw_lib,200,10000,50,8,0.42297911643981934,0.0,10,10,0.007723569869995117,0.3005
3,hnsw_lib,200,10000,50,8,0.42226600646972656,0.0,10,10,0.007476091384887695,0.3091
1,hnsw_lib,200,10000,50,12,0.6348435878753662,0.0,10,10,0.009445905685424805,0.4536
2,hnsw_lib,200,10000,50,12,0.6456160545349121,0.0,10,10,0.010964632034301758,0.4553
3,hnsw_lib,200,10000,50,12,0.6514923572540283,0.0,10,10,0.008775949478149414,0.4585
1,hnsw_lib,200,10000,50,16,0.821882963180542,0.0,10,10,0.011188745498657227,0.5658
2,hnsw_lib,200,10000,50,16,0.7819774150848389,0.0,10,10,0.010437965393066406,0.5641
3,hnsw_lib,200,10000,50,16,0.8239562511444092,0.0,10,10,0.011268138885498047,0.5595
1,hnsw_lib,200,10000,50,32,1.0026748180389404,0.0,10,10,0.015175819396972656,0.7614
2,hnsw_lib,200,10000,50,32,1.0313875675201416,0.0,10,10,0.015103578567504883,0.7634
3,hnsw_lib,200,10000,50,32,1.0054810047149658,0.0,10,10,0.014753103256225586,0.7657
1,hnsw_lib,200,10000,100,8,0.5940372943878174,0.0,10,10,0.006654024124145508,0.3518
2,hnsw_lib,200,10000,100,8,0.5971848964691162,0.0,10,10,0.006489992141723633,0.344
3,hnsw_lib,200,10000,100,8,0.5939195156097412,0.0,10,10,0.007310628890991211,0.3555
1,hnsw_lib,200,10000,100,12,0.8529822826385498,0.0,10,10,0.009784936904907227,0.5272
2,hnsw_lib,200,10000,100,12,0.8670721054077148,0.0,10,10,0.009995698928833008,0.527
3,hnsw_lib,200,10000,100,12,0.8506333827972412,0.0,10,10,0.008861303329467773,0.5227
1,hnsw_lib,200,10000,100,16,1.1880853176116943,0.0,10,10,0.011658668518066406,0.6384
2,hnsw_lib,200,10000,100,16,1.0984959602355957,0.0,10,10,0.012095212936401367,0.6461
3,hnsw_lib,200,10000,100,16,1.1494758129119873,0.0,10,10,0.011233806610107422,0.6471
1,hnsw_lib,200,10000,100,32,1.5446982383728027,0.0,10,10,0.016319751739501953,0.8661
2,hnsw_lib,200,10000,100,32,1.5231437683105469,0.0,10,10,0.01932215690612793,0.8659
3,hnsw_lib,200,10000,100,32,1.5467233657836914,0.0,10,10,0.016561508178710938,0.866
1,hnsw_lib,200,10000,150,8,0.7200195789337158,0.0,10,10,0.007493495941162109,0.3789
2,hnsw_lib,200,10000,150,8,0.7998197078704834,0.0,10,10,0.007973670959472656,0.3773
3,hnsw_lib,200,10000,150,8,0.7539455890655518,0.0,10,10,0.007893800735473633,0.3745
1,hnsw_lib,200,10000,150,12,1.0362520217895508,0.0,10,10,0.009302377700805664,0.5639
2,hnsw_lib,200,10000,150,12,1.0382914543151855,0.0,10,10,0.009252548217773438,0.5613
3,hnsw_lib,200,10000,150,12,1.074709177017212,0.0,10,10,0.009522676467895508,0.5637
1,hnsw_lib,200,10000,150,16,1.3311541080474854,0.0,10,10,0.011218547821044922,0.6829
2,hnsw_lib,200,10000,150,16,1.3371264934539795,0.0,10,10,0.011583566665649414,0.6821
3,hnsw_lib,200,10000,150,16,1.3201904296875,0.0,10,10,0.01112055778503418,0.6823
1,hnsw_lib,200,10000,150,32,1.8693580627441406,0.0,10,10,0.016493797302246094,0.8894
2,hnsw_lib,200,10000,150,32,1.8394997119903564,0.0,10,10,0.0166471004486084,0.8904
3,hnsw_lib,200,10000,150,32,1.8493812084197998,0.0,10,10,0.016476154327392578,0.8914
1,hnsw_lib,200,10000,300,8,1.1790521144866943,0.0,10,10,0.00712895393371582,0.4094
2,hnsw_lib,200,10000,300,8,1.1233208179473877,0.0,10,10,0.007359504699707031,0.4101
3,hnsw_lib,200,10000,300,8,1.1800971031188965,0.0,10,10,0.007302045822143555,0.4148
1,hnsw_lib,200,10000,300,12,1.5201387405395508,0.0,10,10,0.009479284286499023,0.5966
2,hnsw_lib,200,10000,300,12,1.5214574337005615,0.0,10,10,0.00897836685180664,0.5913
3,hnsw_lib,200,10000,300,12,1.495617389678955,0.0,10,10,0.008977413177490234,0.5896
1,hnsw_lib,200,10000,300,16,1.8259434700012207,0.0,10,10,0.011235475540161133,0.7101
2,hnsw_lib,200,10000,300,16,1.817814826965332,0.0,10,10,0.011608362197875977,0.7088
3,hnsw_lib,200,10000,300,16,1.7894625663757324,0.0,10,10,0.011290311813354492,0.7091
1,hnsw_lib,200,10000,300,32,2.4135825634002686,0.0,10,10,0.016673803329467773,0.8995
2,hnsw_lib,200,10000,300,32,2.3743467330932617,0.0,10,10,0.01652240753173828,0.8994
3,hnsw_lib,200,10000,300,32,2.362356662750244,0.0,10,10,0.016407012939453125,0.8992
1,hnsw_lib,200,50000,50,8,2.5198814868927,41.625,10,10,0.04605841636657715,0.10478
2,hnsw_lib,200,50000,50,8,2.4919233322143555,41.625,10,10,0.04604744911193848,0.10784
3,hnsw_lib,200,50000,50,8,2.3998630046844482,42.75,10,10,0.04236412048339844,0.10632
1,hnsw_lib,200,50000,50,12,4.178828954696655,43.875,10,10,0.06544065475463867,0.17878
2,hnsw_lib,200,50000,50,12,4.219068288803101,44.4375,10,10,0.07021975517272949,0.18028
3,hnsw_lib,200,50000,50,12,4.209182262420654,43.3125,10,10,0.07207584381103516,0.17982
1,hnsw_lib,200,50000,50,16,6.140066623687744,44.4375,10,10,0.09137940406799316,0.24982
2,hnsw_lib,200,50000,50,16,6.147653102874756,43.875,10,10,0.08393216133117676,0.24746
3,hnsw_lib,200,50000,50,16,5.942304611206055,44.4375,10,10,0.08412289619445801,0.24636
1,hnsw_lib,200,50000,50,32,11.422532796859741,51.1875,10,10,0.15313959121704102,0.43406
2,hnsw_lib,200,50000,50,32,11.42628002166748,50.625,10,10,0.175307035446167,0.43218
3,hnsw_lib,200,50000,50,32,11.313292980194092,51.75,10,10,0.16297650337219238,0.4352
1,hnsw_lib,200,50000,100,8,3.8088274002075195,41.625,10,10,0.047796010971069336,0.13202
2,hnsw_lib,200,50000,100,8,3.6861088275909424,41.625,10,10,0.04532885551452637,0.13506
3,hnsw_lib,200,50000,100,8,3.6274802684783936,41.625,10,10,0.045995235443115234,0.1287
1,hnsw_lib,200,50000,100,12,6.012813091278076,43.3125,10,10,0.06819510459899902,0.22978
2,hnsw_lib,200,50000,100,12,6.026095151901245,43.3125,10,10,0.06919050216674805,0.23242
